Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Tags,Source,ICP Match
Conquer Employment,conqueremploymentllc.com,Warehousing and Storage,"Arlington, Texas, United States",501-1000,https://www.linkedin.com/company/conquer-employment,,public company,,,No
Patterson Warehouses,pattersonwarehouses.com,Warehousing and Storage,"Memphis, Tennessee, United States",201-500,https://www.linkedin.com/company/patterson-warehouses,"With a distribution legacy that spans over 150 years, Patterson has a long history of success with customers both past and present. We service a diverse mix of industries such as import to retail manufacturers, web fulfillment resellers, food and beverage producers, raw material suppliers and many others.",privately held,,,Yes
Texas Logistic Services,texaslogisticservices.com,Warehousing and Storage,"Sugar Land, Texas, United States",51-200,https://www.linkedin.com/company/texas-logistics-fulfillment-services,Texas Logistic Services is a logistics company that provides customized and high-quality 3PL services for efficient warehousing and distribution management.,privately held,,,Yes
Dedicated Freight Handlers,dedicatedfreighthandlers.com,Warehousing and Storage,"Murrieta, California, United States",51-200,https://www.linkedin.com/company/dedicated-freight-handlers,"Dedicated Freight Handlers is a logistics company that offers tailored solutions to address the unique challenges and specific requirements of each partner, ensuring finely tuned supply chains.",privately held,,,Yes
KC Warehouse Jobs,kcwarehousejobs.com,Warehousing and Storage,"Kansas City, Missouri, United States",201-500,https://www.linkedin.com/company/forklift-kc,We provide access to the best and highest paying warehouse jobs in the Kansas City area. We even provide training for certain specialized jobs.,privately held,,,Yes
"100Plus Development Co.,Limited",whtwht.com,Warehousing and Storage,"Valley View, Ohio, United States",51-200,https://www.linkedin.com/company/100plus-pearl-jewelry-co-limited,,partnership,,,No
Reiko Fulfillment Center,reikousa.com,Warehousing and Storage,"Commack, New York, United States",1001-5000,https://www.linkedin.com/company/%e7%91%9e%e7%a7%91%e7%be%8e%e5%9b%bd%e4%bb%93-reiko-fulfilment-center,,partnership,,,Yes
Stark Bros Fulfillment Services,starkbrosfulfillment.com,Warehousing and Storage,"Louisiana, Missouri, United States",201-500,https://www.linkedin.com/company/stark-bros-fulfillment-services,,privately held,,,Yes
Alliance CFS inc.,alliancecfs.com,Warehousing and Storage,"United States, California",51-200,https://www.linkedin.com/company/alliance-cfs-inc.,,privately held,,,Yes
The RamGuard,theramguard.com,Warehousing and Storage,"North East, Pennsylvania, United States",501-1000,https://www.linkedin.com/company/the-ramguard,RAMGuard™ is a rack protection company that offers superior column protection using its patent-pending Rubber Armored Metal design for energy absorption during impacts.,privately held,,,No
MVT Warehousing,mvtwarehousing.com,Warehousing and Storage,"El Paso, Texas, United States",201-500,https://www.linkedin.com/company/mvt-warehousing,,,,,Yes
Foster Logistics,fosterlogistics.com,Warehousing and Storage,"Bellefontaine, Ohio, United States",51-200,https://www.linkedin.com/company/fosterlogistics,"We provide warehouse solutions including facility leasing; storage, sorting, and shipping; and other value-added services customized to our client’s needs.",public company,,,Yes
Shipping and Handling of TX,shippingandhandlingtx.com,Warehousing and Storage,"Sugar Land, Texas, United States",51-200,https://www.linkedin.com/company/shipping-and-handling-texas,"Shipping and Handling of TX is a logistics company that offers warehousing, shipping, inventory management, and returns processing for B2B and B2C businesses.",privately held,,,Yes
Anchor Manufacturing,anchormanufacturingtx.com,Warehousing and Storage,"Sealy, Texas, United States",51-200,https://www.linkedin.com/company/anchor-manufacturing,,self owned,,,No
